"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
128.12	"ES0_3"	3.422	2.389	2.357	"ES0"	"3"	0.645618738242695	0.530071568837378	0.525951341248012
128.143	"ES0_3"	3.39	2.389	2.357	"ES0"	"3"	0.642464520242121	0.530071568837378	0.525951341248012
128.911	"ES0_3"	12.044	10.235	9.395	"ES0"	"3"	1.11541079013392	1.05057307675515	1.01682449366749
129.045	"ES0_3"	12.205	10.364	9.396	"ES0"	"3"	1.12073840554294	1.0555312250509	1.01686627082898
129.07	"ES0_3"	12.173	10.461	9.396	"ES0"	"3"	1.11968469182405	1.05922251252969	1.01686627082898
129.091	"ES0_3"	12.205	10.429	9.396	"ES0"	"3"	1.12073840554294	1.0580082327154	1.01686627082898
129.127	"ES0_3"	11.883	10.3	9.299	"ES0"	"3"	1.11001700679211	1.05307844348342	1.01279505814541
129.139	"ES0_3"	11.592	10.268	9.299	"ES0"	"3"	1.10009471501499	1.05184683831374	1.01279505814541
129.151	"ES0_3"	11.302	10.235	9.202	"ES0"	"3"	1.08997572268773	1.05057307675515	1.00868531919517
131.06	"ES0_3"	10.236	9.977	5.328	"ES0"	"3"	1.05061173052954	1.04048366420627	0.80126647048962
131.107	"ES0_3"	10.236	9.945	5.295	"ES0"	"3"	1.05061173052954	1.03921576590395	0.798995734443881
131.143	"ES0_3"	10.203	9.848	5.295	"ES0"	"3"	1.04933433597228	1.03534967652299	0.798995734443881
131.154	"ES0_3"	10.203	9.816	5.296	"ES0"	"3"	1.04933433597228	1.03406667859756	0.799064719351008
132.066	"ES0_3"	1.484	1.291	0.871	"ES0"	"3"	0.395151591504543	0.360025089189398	0.27207378750001
132.102	"ES0_3"	1.484	1.259	0.839	"ES0"	"3"	0.395151591504543	0.353916230920363	0.264581729238077
133.065	"ES0_3"	4.973	5.426	3.972	"ES0"	"3"	0.776192514747072	0.807940721215499	0.696531119969607
133.101	"ES0_3"	4.941	5.103	3.843	"ES0"	"3"	0.773859552376687	0.785543369956593	0.685114469046539
